,RMSE,MAE,MSE,R2
RNN,2.070394604286354,0.12955577121884515,4.286533817458048,0.9602083221619491
LSTM,2.3426265559465738,0.18772251638571547,5.487899180626105,0.9490561079178247
BiLSTM,2.149957903049053,0.17352231039201466,4.622318984883082,0.9570912453409159
GRU,2.4054490306810092,0.20381254978781532,5.786185039204207,0.9462871352948058
Hybrid RNN-LSTM,2.9275765546802597,0.2645394645456751,8.57070448351354,0.9204385813395144
Hybrid RNN-BiLSTM,2.4091381408231354,0.20991586677415164,5.803946581568753,0.9461222557903449
Hybrid RNN-GRU,2.232354494864164,0.19849180448830853,4.983406590740237,0.953739287256493
Hybrid LSTM-BiLSTM,6.356541545376666,0.5060661665025383,40.405620418099566,0.6249166578424349
Hybrid LSTM-GRU,2.696950193759998,0.21897266116476385,7.273540347622091,0.932480090772671
Hybrid BiLSTM-GRU,2.6057030593789965,0.229325094372062,6.789688433657062,0.9369716637548803
