,RMSE,MAE,MSE,R2
RNN,0.08583009218922681,0.025151030710582882,0.007366804725211173,0.9766547502827329
LSTM,0.0838178712842805,0.008658890963257483,0.007025435546628215,0.9777365420523076
BiLSTM,0.08370338566847788,0.009625722194824524,0.007006256772365947,0.9777973191858308
GRU,0.08391476655681895,0.01489180722364817,0.007041688046285422,0.9776850382216538
Hybrid RNN-LSTM,0.08671346514081436,0.02292604290518297,0.007519225036727228,0.9761717335112758
Hybrid RNN-BiLSTM,0.08557287359799426,0.022351980871499522,0.007322716695818303,0.9767944643235024
Hybrid RNN-GRU,0.08601653810374282,0.01823725537467324,0.007398844827352642,0.9765532158708189
Hybrid LSTM-BiLSTM,0.08508938187434187,0.02276357975092881,0.007240202907757578,0.9770559487878323
Hybrid LSTM-GRU,0.08470331229348395,0.015563674399801065,0.00717465111348747,0.9772636810494754
Hybrid BiLSTM-GRU,0.09123359831624336,0.043125550427366224,0.008323569461729644,0.9736227828928197
