,RMSE,MAE,MSE,R2
RNN,0.4609129051466369,0.05284322351079366,0.2124407061307127,0.9463976581840691
LSTM,0.4655202894932801,0.06820913887009335,0.2167091399299073,0.9453206609753405
BiLSTM,0.465633671902636,0.06638954944776636,0.21681471640953165,0.9452940222644662
GRU,0.4643834935462458,0.08142368227094497,0.21565202907821612,0.9455873877163767
Hybrid RNN-LSTM,0.4698596182580815,0.11527621257813293,0.22076806086963005,0.9442965273637671
Hybrid RNN-BiLSTM,0.46208236497976807,0.06952305523961508,0.2135201120252956,0.9461253060309749
Hybrid RNN-GRU,0.4681598647890475,0.08259583246984337,0.2191736589992992,0.9446988216114282
Hybrid LSTM-BiLSTM,0.485531902059561,0.0750952799933962,0.23574122791757512,0.9405185469908477
Hybrid LSTM-GRU,0.4719526670946813,0.08240939548096608,0.2227393199777831,0.9437991457345705
Hybrid BiLSTM-GRU,0.46683668158758906,0.0877822101581386,0.21793648727571202,0.9450109807207653
