,RMSE,MAE,MSE,R2
RNN,0.4440633790765373,0.12747708283863923,0.19719228463687247,0.9605606013969462
LSTM,0.4566664937543298,0.17312332441199788,0.20854428651787335,0.9582901468101865
BiLSTM,0.44032070942397467,0.0943960154503879,0.19388232714763232,0.9612226087012263
GRU,0.4322927684342249,0.043668487823763376,0.1868770376405264,0.9626237000558365
Hybrid RNN-LSTM,0.4512101150912025,0.10021855027529414,0.20359056796061623,0.959280914177717
Hybrid RNN-BiLSTM,0.4462997547386803,0.10455456467839315,0.1991834710798062,0.960162354599611
Hybrid RNN-GRU,0.43421289436230737,0.04809712123948103,0.1885408376304923,0.962290932112502
Hybrid LSTM-BiLSTM,0.43723748045651817,0.07896809539823557,0.1911766143159641,0.9617637641884711
Hybrid LSTM-GRU,0.4879662886517459,0.2509642998855381,0.23811109886055898,0.9523766431477474
Hybrid BiLSTM-GRU,0.44586666541513376,0.057644361980301345,0.1987970833284108,0.9602396339950532
