,RMSE,MAE,MSE,R2
RNN,3.237777240177281,0.2838127841270023,10.483201457010011,0.9394965031226936
LSTM,3.278989942512709,0.26822807761474354,10.7517750430995,0.9379464383649065
BiLSTM,3.270782360763643,0.31774314607405,10.69801725148259,0.9382566999191239
GRU,3.2272107986380463,0.22478849227819625,10.414889538846015,0.9398907634013182
Hybrid RNN-LSTM,3.4088315417800295,0.507811494792047,11.620132480234412,0.9329347382939377
Hybrid RNN-BiLSTM,3.311845594825787,0.5357673943460757,10.968321243966972,0.9366966481704029
Hybrid RNN-GRU,3.3099771729314678,0.2947792239024454,10.955948885327391,0.9367680548838372
Hybrid LSTM-BiLSTM,3.3219441659968787,0.3192425061413311,11.035313042000698,0.9363100069272903
Hybrid LSTM-GRU,3.302842846012641,0.32534246057732397,10.90877086545688,0.9370403414739231
Hybrid BiLSTM-GRU,3.4895020664546927,0.4988830687374915,12.17662467179157,0.9297229595532355
