,RMSE,MAE,MSE,R2
RNN,0.4414247937316643,0.06990478905553872,0.19485584852104237,0.9731950516466384
LSTM,0.44146463613196935,0.07332896330656889,0.1948910249551321,0.973190212672052
BiLSTM,0.4457803573847824,0.07821122354731642,0.1987201270301043,0.9726634700356959
GRU,0.4421090320544449,0.07225904653316481,0.1954603962241182,0.9731118882718612
Hybrid RNN-LSTM,0.44490371439636495,0.07844684964224599,0.19793931508368226,0.9727708808424865
Hybrid RNN-BiLSTM,0.4398843038638257,0.08991449796936336,0.19349820078576255,0.9733818136951089
Hybrid RNN-GRU,0.4414497367825432,0.08451611584243302,0.19487787010537663,0.973192022292194
Hybrid LSTM-BiLSTM,0.4537375938860952,0.07695910514982937,0.20587780410554307,0.9716788387516292
Hybrid LSTM-GRU,0.44660542741840137,0.08833928795080839,0.19945640779957297,0.9725621850696607
Hybrid BiLSTM-GRU,0.44371007559363024,0.07683241682567478,0.19687863118330504,0.9729167916652032
