,RMSE,MAE,MSE,R2
RNN,0.3749482150988625,0.07389191903598706,0.14058616400582286,0.9787519558945781
LSTM,0.3766751555463303,0.07590357442530006,0.14188417280585214,0.9785557762176711
BiLSTM,0.37847646421758413,0.08124168016088688,0.14324443396664424,0.9783501877848136
GRU,0.3763832382580426,0.08182623206911711,0.14166434204161046,0.9785890012068255
Hybrid RNN-LSTM,0.3758203837782,0.07474285887598091,0.14124096086319352,0.9786529905902475
Hybrid RNN-BiLSTM,0.3796205769475337,0.10628183688101601,0.14411178244197836,0.9782190976537969
Hybrid RNN-GRU,0.3786096955544539,0.08532277508771895,0.1433453015678363,0.9783349427622747
Hybrid LSTM-BiLSTM,0.3754265272578973,0.06812841149546776,0.14094507736892473,0.9786977101085639
Hybrid LSTM-GRU,0.37734257452111336,0.09113568226309172,0.142387418546222,0.9784797161888421
Hybrid BiLSTM-GRU,0.3790864902021327,0.1006004587402633,0.14370656705377163,0.9782803414789037
