,RMSE,MAE,MSE,R2
RNN,0.8155348151316614,0.12726501529464726,0.665097034691833,0.9715402003533566
LSTM,0.8296076231073606,0.16936796949915,0.6882488083178444,0.9705495256029181
BiLSTM,0.81900010411175,0.13810278834938527,0.6707611705350572,0.9712978294467652
GRU,0.816088962638484,0.15578001816983045,0.6660011949403568,0.9715015109318448
Hybrid RNN-LSTM,0.8421285278878016,0.1875606397208385,0.7091804574824758,0.9696538509713581
Hybrid RNN-BiLSTM,0.8194839190948172,0.16495559575843277,0.6715538936550008,0.9712639084698369
Hybrid RNN-GRU,0.8161942704922596,0.12700051188425301,0.6661730871843918,0.9714941555858263
Hybrid LSTM-BiLSTM,0.9179811051344785,0.33194482708068107,0.8426893093839185,0.9639409474731054
Hybrid LSTM-GRU,0.8522772083324544,0.27037331129579123,0.7263764398429619,0.9689180271935038
Hybrid BiLSTM-GRU,0.818430264534283,0.14422011572609858,0.6698280979056564,0.9713377560419887
