,RMSE,MAE,MSE,R2
RNN,0.6300359096905529,0.1262729015761376,0.39694524749960247,0.9811499356123555
LSTM,0.689309172928169,0.30360487753561444,0.47514713588291635,0.9774362984280173
BiLSTM,0.642783660121666,0.1914188906281021,0.4131708337194054,0.98037941789764
GRU,0.6255558049534303,0.09405249725294533,0.3913200651109342,0.9814170632600262
Hybrid RNN-LSTM,0.6305898142982028,0.15163154499766027,0.39764351389664193,0.9811167764635136
Hybrid RNN-BiLSTM,0.6306773812245287,0.1535045616114135,0.3977539591882295,0.9811115316574078
Hybrid RNN-GRU,0.6315808070723641,0.12364356696697852,0.3988943158621787,0.9810573786051564
Hybrid LSTM-BiLSTM,0.6400817314789007,0.19457051768033262,0.40970462297302745,0.980544020688987
Hybrid LSTM-GRU,0.6292520862617591,0.15004545700565888,0.39595818806477634,0.9811968089129381
Hybrid BiLSTM-GRU,0.6274671973751214,0.1363002247290086,0.3937150837817895,0.9813033290449434
