,RMSE,MAE,MSE,R2
RNN,0.2838509586391083,0.05244509938372639,0.08057136672034078,0.9793564593266175
LSTM,0.3298649523577356,0.08948785366813095,0.10881088679397118,0.9721210889343015
BiLSTM,0.30472138496725515,0.06653147243195812,0.09285512245636211,0.9762091847862884
GRU,0.2931824280517157,0.048180244869935614,0.08595593611829944,0.9779768553568694
Hybrid RNN-LSTM c2,0.5266852090285585,0.2688420359538237,0.27739730940945645,0.9289268275744006
Hybrid RNN-BiLSTM c2,0.302193902950868,0.09078053793639217,0.09132115498067864,0.976602209272094
Hybrid RNN-GRU c2,0.302692065131748,0.09106424898584584,0.0916224862937224,0.9765250038643891
Hybrid LSTM-BiLSTM c2,0.4179859168163611,0.17740212617005413,0.17471222665681393,0.9552362197150538
Hybrid LSTM-GRU c2,0.41927989546130473,0.1375728801214373,0.1757956307380426,0.9549586360382846
Hybrid BiLSTM-GRU c2,0.2962051469406537,0.06869954137939824,0.08773748907413424,0.9775203959172125
