,RMSE,MAE,MSE,R2
RNN,2.3602515567799265,0.5885026789282561,5.570787411282066,0.9706630075537046
LSTM,2.3180291308072913,0.43456377390927126,5.373259051271207,0.9717032353667121
BiLSTM,2.312716048831207,0.4517281082026734,5.3486555225214305,0.9718328029634979
GRU,2.623734382914109,0.6095028016311144,6.88398211208568,0.9637474352703378
Hybrid RNN-LSTM c2,2.374376446530132,0.6403052551310573,5.637663509837057,0.9703108233015876
Hybrid RNN-BiLSTM c2,2.31728349325235,0.4948602121985643,5.369802788099813,0.9717214368091772
Hybrid RNN-GRU c2,2.416711247689862,0.6711075721429094,5.840493254710689,0.9692426772292404
Hybrid LSTM-BiLSTM c2,2.7100367917467785,0.7743562836731094,7.344299412621173,0.9613233030657307
Hybrid LSTM-GRU c2,2.3600330188148306,0.547383027976406,5.569755849896243,0.9706684399829735
Hybrid BiLSTM-GRU c2,2.33519593562587,0.5992305720180734,5.453140057763582,0.9712825644074644
