,RMSE,MAE,MSE,R2
RNN,3.422512265225867,0.3843823531701494,11.713590205621493,0.9363608994953365
LSTM,3.4145183915297626,0.28774776304647126,11.658935846094996,0.9366578327342384
BiLSTM,3.2979439743536383,0.31810353222107307,10.876434457975472,0.9409091069899895
GRU,3.3603535367415787,0.2710319847222645,11.291975891891635,0.9386515000042037
Hybrid RNN-LSTM c2,3.318138828795051,0.5008188877569449,11.010045287157395,0.9401832088803955
Hybrid RNN-BiLSTM c2,3.3139044696461046,0.4609989515755042,10.981962833940429,0.9403357788466757
Hybrid RNN-GRU c2,3.301106634333366,0.3121332886087377,10.897305011239764,0.9407957187620031
Hybrid LSTM-BiLSTM c2,3.3031613790304055,0.3589386675437547,10.91087509591805,0.9407219934593812
Hybrid LSTM-GRU c2,3.3528916546085505,0.7680294247781054,11.241882447543665,0.9389236541160964
Hybrid BiLSTM-GRU c2,3.41068116182145,0.48684724424225606,11.632745987603714,0.9368001203683004
